month;day;FFMC;DMC;DC
mar;fri;86,2;26,2;94,3
oct;tue;90,6;35,4;669,1
oct;sat;90,6;43,7;686,9
mar;fri;91,7;33,3;77,5
mar;sun;89,3;51,3;102,2
aug;sun;92,3;85,3;488
aug;mon;92,3;88,9;495,6
aug;mon;91,5;145,4;608,2
sep;tue;91;129,5;692,6
sep;sat;92,5;88;698,6
sep;sat;92,5;88;698,6
sep;sat;92,8;73,2;713
aug;fri;63,5;70,8;665,3
sep;mon;90,9;126,5;686,5
sep;wed;92,9;133,3;699,6
sep;fri;93,3;141,2;713,9
mar;sat;91,7;35,8;80,8
oct;mon;84,9;32,8;664,2
mar;wed;89,2;27,9;70,8
apr;sat;86,3;27,4;97,1
sep;tue;91;129,5;692,6
sep;mon;91,8;78,5;724,3
jun;sun;94,3;96,3;200
aug;sat;90,2;110,9;537,4
aug;sat;93,5;139,4;594,2
aug;sun;91,4;142,4;601,4
sep;fri;92,4;117,9;668
sep;mon;90,9;126,5;686,5
sep;sat;93,4;145,4;721,4
sep;sun;93,5;149,3;728,6
sep;fri;94,3;85,1;692,3
sep;mon;88,6;91,8;709,9
sep;fri;88,6;69,7;706,8
sep;sun;91,7;75,6;718,3
sep;mon;91,8;78,5;724,3
sep;tue;90,3;80,7;730,2
oct;tue;90,6;35,4;669,1
oct;fri;90;41,5;682,6
oct;sat;90,6;43,7;686,9
mar;tue;88,1;25,7;67,6
jul;tue;79,5;60,6;366,7
aug;sat;90,2;96,9;624,2
aug;tue;94,8;108,3;647,1
sep;sat;92,5;88;698,6
sep;wed;90,1;82,9;735,7
sep;wed;94,3;85,1;692,3
sep;mon;90,9;126,5;686,5
jul;mon;94,2;62,3;442,9
mar;mon;87,2;23,9;64,7
mar;mon;87,6;52,2;103,8
sep;thu;92,9;137;706,4
aug;sun;90,2;99,6;631,2
aug;wed;92,1;111,2;654,1
aug;wed;92,1;111,2;654,1
aug;thu;91,7;114,3;661,3
sep;thu;92,9;137;706,4
sep;tue;90,3;80,7;730,2
oct;sun;92,6;46,5;691,8
feb;mon;84;9,3;34
feb;fri;86,6;13,2;43
mar;sun;89,3;51,3;102,2
mar;sun;89,3;51,3;102,2
aug;thu;93;75,3;466,6
aug;sun;90,2;99,6;631,2
aug;mon;91,1;103,2;638,8
aug;thu;91,7;114,3;661,3
sep;fri;92,4;117,9;668
sep;fri;92,4;117,9;668
sep;fri;92,4;117,9;668
mar;fri;91,7;33,3;77,5
mar;fri;91,2;48,3;97,8
sep;fri;94,3;85,1;692,3
mar;fri;91,7;33,3;77,5
aug;tue;88,8;147,3;614,5
sep;fri;93,3;141,2;713,9
feb;thu;84,2;6,8;26,6
feb;fri;86,6;13,2;43
mar;mon;87,6;52,2;103,8
aug;fri;90,1;108;529,8
aug;tue;91;121,2;561,6
aug;sun;91,4;142,4;601,4
aug;sun;90,2;99,6;631,2
aug;tue;94,8;108,3;647,1
aug;wed;92,1;111,2;654,1
aug;thu;91,7;114,3;661,3
sep;thu;92,9;137;706,4
sep;thu;92,9;137;706,4
sep;thu;92,9;137;706,4
sep;sun;93,5;149,3;728,6
mar;sat;91,7;35,8;80,8
aug;sat;90,2;96,9;624,2
mar;fri;91,7;35,8;80,8
aug;sun;92,3;85,3;488
aug;sun;91,4;142,4;601,4
aug;mon;91,1;103,2;638,8
sep;sun;89,7;90;704,4
feb;sat;83,9;8;30,2
mar;sat;69;2,4;15,5
aug;sun;91,4;142,4;601,4
aug;sun;91,4;142,4;601,4
aug;sun;91,4;142,4;601,4
aug;tue;88,8;147,3;614,5
aug;tue;94,8;108,3;647,1
sep;sat;92,5;121,1;674,4
jan;sat;82,1;3,7;9,3
mar;fri;85,9;19,5;57,3
mar;thu;91,4;30,7;74,3
aug;sun;90,2;99,6;631,2
sep;sat;92,5;88;698,6
sep;mon;88,6;91,8;709,9
mar;fri;85,9;19,5;57,3
mar;fri;91,7;33,3;77,5
sep;sun;89,7;90;704,4
sep;mon;91,8;78,5;724,3
mar;tue;88,1;25,7;67,6
mar;tue;88,1;25,7;67,6
mar;sat;91,7;35,8;80,8
mar;sat;91,7;35,8;80,8
mar;mon;90,1;39,7;86,6
aug;thu;93;75,3;466,6
aug;mon;91,5;145,4;608,2
aug;mon;91,5;145,4;608,2
sep;sun;92,4;124,1;680,7
sep;tue;84,4;73,4;671,9
sep;fri;94,3;85,1;692,3
oct;sun;92,6;46,5;691,8
mar;mon;87,6;52,2;103,8
sep;fri;93,5;149,3;728,6
oct;wed;91,4;37,9;673,8
oct;sun;92,6;46,5;691,8
feb;sat;68,2;21,5;87,2
mar;mon;87,2;23,9;64,7
mar;sun;89,3;51,3;102,2
sep;thu;93,7;80,9;685,2
mar;tue;88,1;25,7;67,6
aug;sat;93,5;139,4;594,2
sep;sun;92,4;124,1;680,7
sep;mon;90,9;126,5;686,5
jul;tue;85,8;48,3;313,4
sep;tue;91;129,5;692,6
sep;mon;90,9;126,5;686,5
aug;wed;95,5;99,9;513,3
aug;fri;90,1;108;529,8
jul;sat;90;51,3;296,3
aug;wed;95,5;99,9;513,3
aug;thu;95,2;131,7;578,8
mar;mon;90,1;39,7;86,6
sep;tue;84,4;73,4;671,9
aug;tue;94,8;108,3;647,1
sep;thu;93,7;80,9;685,2
jun;fri;92,5;56,4;433,3
jul;sun;90,1;68,6;355,2
jul;sat;90,1;51,2;424,1
sep;fri;94,3;85,1;692,3
sep;sat;93,4;145,4;721,4
aug;sun;94,8;108,3;647,1
sep;sat;93,4;145,4;721,4
aug;wed;92,1;111,2;654,1
aug;wed;92,1;111,2;654,1
sep;fri;92,4;117,9;668
mar;mon;90,1;39,7;86,6
aug;thu;95,2;131,7;578,8
mar;sat;90,6;50,1;100,4
sep;sat;92,5;121,1;674,4
sep;sun;89,7;90;704,4
mar;thu;84,9;18,2;55
aug;wed;92,1;111,2;654,1
aug;wed;96;127,1;570,5
mar;fri;91,2;48,3;97,8
aug;thu;95,2;131,7;578,8
sep;wed;92,9;133,3;699,6
aug;wed;85,6;90,4;609,6
aug;sun;91,4;142,4;601,4
sep;mon;90,9;126,5;686,5
aug;sat;90,2;96,9;624,2
aug;sat;90,2;96,9;624,2
apr;thu;81,5;9,1;55,2
aug;sun;90,2;99,6;631,2
sep;wed;90,1;82,9;735,7
aug;tue;88,8;147,3;614,5
sep;sun;92,4;124,1;680,7
oct;mon;84,9;32,8;664,2
feb;sun;86,8;15,6;48,3
oct;mon;91,7;48,5;696,1
aug;fri;93,9;135,7;586,7
sep;tue;91;129,5;692,6
mar;sun;89,3;51,3;102,2
sep;mon;90,9;126,5;686,5
mar;sat;90,8;41,9;89,4
mar;sun;90,7;44;92,4
mar;fri;91,2;48,3;97,8
aug;thu;95,2;131,7;578,8
aug;tue;94,8;108,3;647,1
sep;wed;92,9;133,3;699,6
aug;tue;94,8;108,3;647,1
aug;fri;93,9;135,7;586,7
apr;thu;81,5;9,1;55,2
sep;thu;92,9;137;706,4
sep;tue;91;129,5;692,6
sep;mon;63,5;70,8;665,3
sep;tue;91;129,5;692,6
mar;sun;90,1;37,6;83,7
feb;sun;83,9;8,7;32,1
oct;wed;91,4;37,9;673,8
mar;sat;90,6;50,1;100,4
sep;thu;92,9;137;706,4
aug;sat;93,5;139,4;594,2
sep;tue;91;129,5;692,6
sep;fri;92,4;117,9;668
sep;thu;93,7;80,9;685,2
oct;sat;90,6;43,7;686,9
aug;sat;93,5;139,4;594,2
sep;fri;94,3;85,1;692,3
mar;mon;87,6;52,2;103,8
mar;sat;91,7;35,8;80,8
mar;sat;91,7;35,8;80,8
sep;sun;92,4;124,1;680,7
sep;mon;88,6;91,8;709,9
sep;wed;92,9;133,3;699,6
mar;mon;90,1;39,7;86,6
aug;sun;90,2;99,6;631,2
sep;fri;93,3;141,2;713,9
mar;mon;87,6;52,2;103,8
jul;fri;88,3;150,3;309,9
sep;wed;90,1;82,9;735,7
sep;sun;93,5;149,3;728,6
oct;mon;91,7;48,5;696,1
aug;sat;92,2;81,8;480,8
sep;sun;93,5;149,3;728,6
aug;sat;92,2;81,8;480,8
sep;wed;92,9;133,3;699,6
sep;sun;93,5;149,3;728,6
sep;tue;91;129,5;692,6
sep;tue;84,4;73,4;671,9
sep;sat;92,5;121,1;674,4
aug;sun;91,4;142,4;601,4
sep;sat;92,5;121,1;674,4
sep;tue;91;129,5;692,6
sep;sat;92,5;121,1;674,4
apr;sun;81,9;3;7,9
apr;wed;88;17,2;43,5
apr;fri;83;23,3;85,3
aug;sun;94,2;122,3;589,9
aug;sun;91,8;175,1;700,7
aug;sun;91,8;175,1;700,7
aug;sun;91,8;175,1;700,7
aug;sun;91,8;175,1;700,7
aug;wed;92,2;91,6;503,6
aug;wed;93,1;157,3;666,7
aug;wed;93,1;157,3;666,7
aug;wed;93,1;157,3;666,7
aug;wed;93,1;157,3;666,7
aug;wed;93,1;157,3;666,7
aug;thu;91,9;109,2;565,5
aug;thu;91,6;138,1;621,7
aug;thu;87,5;77;694,8
aug;sat;94,2;117,2;581,1
aug;sat;94,2;117,2;581,1
aug;sat;91,8;170,9;692,3
aug;sat;91,8;170,9;692,3
aug;mon;93,6;97,9;542
aug;fri;91,6;112,4;573
aug;fri;91,6;112,4;573
aug;fri;91,1;141,1;629,1
aug;fri;94,3;167,6;684,4
aug;tue;93,7;102,2;550,3
aug;tue;94,3;131,7;607,1
aug;tue;92,1;152,6;658,2
aug;tue;92,1;152,6;658,2
aug;tue;92,1;152,6;658,2
aug;tue;92,1;152,6;658,2
aug;tue;92,1;152,6;658,2
aug;tue;92,1;152,6;658,2
dec;sun;84,4;27,2;353,5
dec;wed;84;27,8;354,6
dec;thu;84,6;26,4;352
dec;mon;85,4;25,4;349,7
dec;mon;85,4;25,4;349,7
dec;mon;85,4;25,4;349,7
dec;mon;85,4;25,4;349,7
dec;fri;84,7;26,7;352,6
dec;tue;85,4;25,4;349,7
feb;sun;84,9;27,5;353,5
feb;wed;86,9;6,6;18,7
feb;fri;85,2;4,9;15,8
jul;sun;93,9;169,7;411,8
jul;wed;91,2;183,1;437,7
jul;sat;91,6;104,2;474,9
jul;sat;91,6;104,2;474,9
jul;sat;91,6;104,2;474,9
jul;sat;91,6;104,2;474,9
jul;sat;91,6;104,2;474,9
jul;fri;91,6;100,2;466,3
jul;tue;93,1;180,4;430,8
jul;tue;92,3;88,8;440,9
jun;sun;93,1;180,4;430,8
jun;sun;90,4;89,5;290,8
jun;sun;90,4;89,5;290,8
jun;wed;91,2;147,8;377,2
jun;sat;53,4;71;233,8
jun;mon;90,4;93,3;298,1
jun;mon;90,4;93,3;298,1
jun;fri;91,1;94,1;232,1
jun;fri;91,1;94,1;232,1
may;sat;85,1;28;113,8
sep;sun;89,6;84,1;714,3
sep;sun;89,6;84,1;714,3
sep;sun;89,6;84,1;714,3
sep;sun;92,4;105,8;758,1
sep;sun;92,4;105,8;758,1
sep;sun;92,4;105,8;758,1
sep;sun;92,4;105,8;758,1
sep;sun;50,4;46,2;706,6
sep;wed;92,6;115,4;777,1
sep;wed;92,6;115,4;777,1
sep;wed;91,2;134,7;817,5
sep;thu;92,4;96,2;739,4
sep;thu;92,4;96,2;739,4
sep;thu;92,8;119;783,5
sep;thu;92,8;119;783,5
sep;thu;92,8;119;783,5
sep;thu;92,8;119;783,5
sep;thu;92,8;119;783,5
sep;thu;90,7;136,9;822,8
sep;thu;88,1;53,3;726,9
sep;sat;92,2;102,3;751,5
sep;sat;92,2;102,3;751,5
sep;sat;92,2;102,3;751,5
sep;sat;92,2;102,3;751,5
sep;sat;92,2;102,3;751,5
sep;sat;92,2;102,3;751,5
sep;sat;91,2;124,4;795,3
sep;sat;91,2;124,4;795,3
sep;mon;92,1;87,7;721,1
sep;mon;91,6;108,4;764
sep;mon;91,6;108,4;764
sep;mon;91,6;108,4;764
sep;mon;91,6;108,4;764
sep;mon;91,6;108,4;764
sep;mon;91,6;108,4;764
sep;mon;91,6;108,4;764
sep;mon;91,9;111,7;770,3
sep;mon;91,5;130,1;807,1
sep;mon;91,5;130,1;807,1
sep;mon;91,5;130,1;807,1
sep;mon;91,5;130,1;807,1
sep;mon;91,5;130,1;807,1
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,1;99;745,3
sep;fri;92,5;122;789,7
sep;fri;92,5;122;789,7
sep;fri;92,5;122;789,7
sep;fri;92,5;122;789,7
sep;fri;92,5;122;789,7
sep;fri;88,2;55,2;732,3
sep;tue;91,9;111,7;770,3
sep;tue;91,9;111,7;770,3
sep;tue;91,9;111,7;770,3
sep;tue;91,1;132,3;812,1
sep;tue;91,1;132,3;812,1
sep;sat;91,2;94,3;744,4
sep;sun;91;276,3;825,1
sep;sun;91;276,3;825,1
jul;wed;91,9;133,6;520,5
aug;sun;92;203,2;664,5
aug;thu;94,8;222,4;698,6
sep;fri;90,3;290;855,3
sep;sat;91,2;94,3;744,4
aug;mon;92,1;207;672,6
aug;sat;93,7;231,1;715,1
mar;thu;90,9;18,9;30,6
jan;sun;18,7;1,1;171,4
jul;wed;93,7;101,3;458,8
aug;thu;90,7;194,1;643
aug;wed;95,2;217,7;690
aug;thu;91,6;248,4;753,8
aug;sat;91,6;273,8;819,1
aug;sun;91,6;181,3;613
sep;sun;90,5;96,7;750,5
mar;thu;90,9;18,9;30,6
aug;fri;94,8;227;706,7
aug;fri;94,8;227;706,7
feb;mon;84,7;9,5;58,3
sep;fri;91,1;91,3;738,1
sep;sun;91;276,3;825,1
mar;tue;93,4;15;25,6
feb;mon;84,1;4,6;46,7
feb;sun;85;9;56,9
sep;sun;90,5;96,7;750,5
aug;sun;91,6;181,3;613
aug;sat;93,7;231,1;715,1
jun;wed;93,3;49,5;297,7
jun;wed;93,3;49,5;297,7
sep;thu;91,1;88,2;731,7
aug;fri;94,8;227;706,7
aug;thu;90,7;194,1;643
sep;wed;87,9;84,8;725,1
aug;tue;94,6;212,1;680,9
sep;sat;87,1;291,3;860,6
feb;sat;84,7;8,2;55
sep;fri;90,3;290;855,3
jul;tue;92,3;96,2;450,2
feb;fri;84,1;7,3;52,8
feb;fri;84,6;3,2;43,6
jul;mon;92,3;92,1;442,1
aug;sat;93,7;231,1;715,1
aug;sun;93,6;235,1;723,1
aug;thu;94,8;222,4;698,6
jul;tue;92,7;164,1;575,8
mar;wed;93,4;17,3;28,3
aug;sun;92;203,2;664,5
aug;sun;91,6;181,3;613
aug;wed;91,7;191,4;635,9
aug;wed;95,2;217,7;690
jul;sun;88,9;263,1;795,9
sep;sat;91,2;94,3;744,4
aug;sat;93,7;231,1;715,1
aug;thu;91,6;248,4;753,8
aug;thu;91,6;248,4;753,8
aug;mon;92,1;207;672,6
aug;thu;94,8;222,4;698,6
aug;sun;91,6;181,3;613
sep;thu;89,7;287,2;849,3
aug;sat;92,1;178;605,3
aug;thu;94,8;222,4;698,6
aug;sun;93,6;235,1;723,1
aug;fri;90,6;269,8;811,2
jul;sat;90,8;84,7;376,6
aug;mon;92,1;207;672,6
aug;sat;89,4;253,6;768,4
aug;sat;93,7;231,1;715,1
sep;fri;91,1;91,3;738,1
sep;fri;90,3;290;855,3
aug;mon;92,1;207;672,6
apr;mon;87,9;24,9;41,6
jul;fri;90,7;80,9;368,3
sep;fri;90,3;290;855,3
aug;sun;94;47,9;100,7
aug;sun;92;203,2;664,5
mar;wed;93,4;17,3;28,3
sep;wed;89,7;284,9;844
aug;sun;91,6;181,3;613
aug;wed;95,2;217,7;690
aug;fri;90,5;196,8;649,9
aug;mon;91,5;238,2;730,6
aug;thu;89,4;266,2;803,3
aug;thu;91,6;248,4;753,8
jul;mon;94,6;160;567,2
aug;thu;91,6;248,4;753,8
aug;wed;91,7;191,4;635,9
aug;sat;93,7;231,1;715,1
aug;sat;91,6;273,8;819,1
aug;sat;93,7;231,1;715,1
aug;sat;93,7;231,1;715,1
sep;sun;91;276,3;825,1
feb;tue;75,1;4,4;16,2
feb;tue;75,1;4,4;16,2
feb;sat;79,5;3,6;15,3
mar;mon;87,2;15,1;36,9
mar;wed;90,2;18,5;41,1
mar;thu;91,3;20,6;43,5
apr;sun;91;14,6;25,6
apr;sun;91;14,6;25,6
may;fri;89,6;25,4;73,7
jun;mon;88,2;96,2;229
jun;sat;90,5;61,1;252,6
jun;thu;93;103,8;316,7
jun;thu;93,7;121,7;350,2
jul;thu;93,5;85,3;395
jul;sun;93,7;101,3;423,4
jul;sun;93,7;101,3;423,4
jul;mon;89,2;103,9;431,6
jul;thu;93,2;114,4;560
jul;thu;93,2;114,4;560
aug;sun;94,9;130,3;587,1
aug;sun;94,9;130,3;587,1
aug;sun;94,9;130,3;587,1
aug;mon;95;135,5;596,3
aug;tue;95,1;141,3;605,8
aug;tue;95,1;141,3;605,8
aug;tue;95,1;141,3;605,8
aug;wed;95,1;141,3;605,8
aug;wed;95,1;141,3;605,8
aug;thu;95,8;152;624,1
aug;fri;95,9;158;633,6
aug;fri;95,9;158;633,6
aug;sat;96;164;643
aug;mon;96,2;175,5;661,8
aug;mon;96,2;175,5;661,8
aug;tue;96,1;181,1;671,2
aug;tue;96,1;181,1;671,2
aug;tue;96,1;181,1;671,2
aug;tue;96,1;181,1;671,2
aug;tue;96,1;181,1;671,2
aug;tue;96,1;181,1;671,2
aug;wed;94,5;139,4;689,1
aug;wed;94,5;139,4;689,1
aug;thu;91;163,2;744,4
aug;fri;91;166,9;752,6
aug;fri;91;166,9;752,6
aug;fri;91;166,9;752,6
aug;fri;91;166,9;752,6
aug;fri;91;166,9;752,6
aug;sun;81,6;56,7;665,6
aug;sun;81,6;56,7;665,6
aug;sun;81,6;56,7;665,6
aug;sun;81,6;56,7;665,6
aug;sat;94,4;146;614,7
nov;tue;79,5;3;106,7
